title,publish_year
Python Cookbook,2002
Fluent Python,2015
Core Python Programming,2016
Black Hat Python,2014
Think Python,2009
Python,2017
Python For Data Analysis,2012
Automate the Boring Stuff with Python,2015
"Python Crash Course, 3rd Edition",2022
Introduction to Machine Learning with Python,2016
Data science from scratch,2015
Core Python programming,2006
"Python Crash Course, 2nd Edition",2019
Python crash course,2015
The Hidden Oracle,2016
Python,2001
Python Data Science Handbook,2016
Practical Statistics for Data Scientists: 50 Essential Concepts,2017
Python Playground,2015
The Burning Maze,2018
My Favorite Animal,2014
Python Basics,2021
Data Science,2022
Python,2016
Head First Python,2010
Beginning Python,2010
Python Distilled,2021
Python Programming,2019
Django for Beginners,2018
Python for Everybody,2016
Effective Python,2015
Pythons' Autobiography by the Pythons,2003
Python for dummies,2006
Python,2018
Python Basics,2019
Garden Planting Weekly,2022
Starting out with Python,2008
Deep Learning with Python,2017
Data Structures and Algorithms in Python,2012
Python in a Nutshell,2002
PYTHON Exercises,2021
Python programming,2003
Let Us Python,2019
